,Symbols,Description
3204,MTL.HIC.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for High income
3205,MTL.IBD.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for IBRD only
3206,MTL.IBT.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for IDA & IBRD total
3207,MTL.IDB.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for IDA blend
3208,MTL.IDX.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for IDA only
3209,MTL.IDA.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for IDA total
3210,MTL.LTE.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Late-demographic dividend
3211,MTL.LCN.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Latin America & Caribbean
3212,MTL.LAC.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Latin America & Caribbean (excluding high income)
3213,MTL.TLA.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Latin America & the Caribbean (IDA & IBRD countries)
3214,MTL.LDC.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Least developed countries: UN classification
3215,MTL.LMY.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Low & middle income
3216,MTL.LIC.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Low income
3217,MTL.LMC.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Lower middle income
3218,MTL.MEA.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Middle East & North Africa
3219,MTL.MNA.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Middle East & North Africa (excluding high income)
3220,MTL.TMN.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Middle East & North Africa (IDA & IBRD countries)
3221,MTL.MIC.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Middle income
3222,MTL.NAC.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for North America
3223,MTL.INX.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Not classified
3224,MTL.OED.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for OECD members
3225,MTL.OSS.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Other small states
3226,MTL.PSS.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Pacific island small states
3227,MTL.PST.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Post-demographic dividend
3228,MTL.PRE.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Pre-demographic dividend
3229,MTL.SST.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Small states
3230,MTL.SAS.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for South Asia
3231,MTL.TSA.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for South Asia (IDA & IBRD)
3232,MTL.SSF.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Sub-Saharan Africa
3233,MTL.SSA.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Sub-Saharan Africa (excluding high income)
3234,MTL.TSS.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Sub-Saharan Africa (IDA & IBRD countries)
3235,MTL.UMC.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for Upper middle income
3236,MTL.WLD.NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI) for World
3237,MTL.AFE.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Africa Eastern and Southern
3238,MTL.AFW.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Africa Western and Central
3239,MTL.ARB.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Arab World
3240,MTL.CSS.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Caribbean small states
3241,MTL.CEB.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Central Europe and the Baltics
3242,MTL.EAR.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Early-demographic dividend
3243,MTL.EAS.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for East Asia & Pacific
3244,MTL.EAP.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for East Asia & Pacific (excluding high income)
3245,MTL.TEA.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for East Asia & Pacific (IDA & IBRD countries)
3246,MTL.EMU.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Euro area
3247,MTL.ECS.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Europe & Central Asia
3248,MTL.ECA.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Europe & Central Asia (excluding high income)
3249,MTL.TEC.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Europe & Central Asia (IDA & IBRD countries)
3250,MTL.EUU.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for European Union
3251,MTL.FCS.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Fragile and conflict affected situations
3252,MTL.HPC.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Heavily indebted poor countries (HIPC)
3253,MTL.HIC.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for High income
3254,MTL.IBD.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for IBRD only
3255,MTL.IBT.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for IDA & IBRD total
3256,MTL.IDB.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for IDA blend
3257,MTL.IDX.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for IDA only
3258,MTL.IDA.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for IDA total
3259,MTL.LTE.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Late-demographic dividend
3260,MTL.LCN.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Latin America & Caribbean
3261,MTL.LAC.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Latin America & Caribbean (excluding high income)
3262,MTL.TLA.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Latin America & the Caribbean (IDA & IBRD countries)
3263,MTL.LDC.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Least developed countries: UN classification
3264,MTL.LMY.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Low & middle income
3265,MTL.LIC.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Low income
3266,MTL.LMC.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Lower middle income
3267,MTL.MEA.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Middle East & North Africa
3268,MTL.MNA.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Middle East & North Africa (excluding high income)
3269,MTL.TMN.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Middle East & North Africa (IDA & IBRD countries)
3270,MTL.MIC.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Middle income
3271,MTL.NAC.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for North America
3272,MTL.INX.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Not classified
3273,MTL.OED.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for OECD members
3274,MTL.OSS.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Other small states
3275,MTL.PSS.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Pacific island small states
3276,MTL.PST.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Post-demographic dividend
3277,MTL.PRE.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Pre-demographic dividend
3278,MTL.SST.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Small states
3279,MTL.SAS.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for South Asia
3280,MTL.TSA.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for South Asia (IDA & IBRD)
3281,MTL.SSF.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Sub-Saharan Africa
3282,MTL.SSA.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Sub-Saharan Africa (excluding high income)
3283,MTL.TSS.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Sub-Saharan Africa (IDA & IBRD countries)
3284,MTL.UMC.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for Upper middle income
3285,MTL.WLD.NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) for World
3286,MTL.AFE.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Africa Eastern and Southern
3287,MTL.AFW.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Africa Western and Central
3288,MTL.ARB.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Arab World
3289,MTL.CSS.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Caribbean small states
3290,MTL.CEB.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Central Europe and the Baltics
3291,MTL.EAR.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Early-demographic dividend
3292,MTL.EAS.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for East Asia & Pacific
3293,MTL.EAP.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for East Asia & Pacific (excluding high income)
3294,MTL.TEA.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for East Asia & Pacific (IDA & IBRD countries)
3295,MTL.EMU.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Euro area
3296,MTL.ECS.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Europe & Central Asia
3297,MTL.ECA.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Europe & Central Asia (excluding high income)
3298,MTL.TEC.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Europe & Central Asia (IDA & IBRD countries)
3299,MTL.EUU.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for European Union
3300,MTL.FCS.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Fragile and conflict affected situations
3301,MTL.HPC.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Heavily indebted poor countries (HIPC)
3302,MTL.HIC.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for High income
3303,MTL.IBD.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for IBRD only
3304,MTL.IBT.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for IDA & IBRD total
3305,MTL.IDB.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for IDA blend
3306,MTL.IDX.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for IDA only
3307,MTL.IDA.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for IDA total
3308,MTL.LTE.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Late-demographic dividend
3309,MTL.LCN.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Latin America & Caribbean
3310,MTL.LAC.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Latin America & Caribbean (excluding high income)
3311,MTL.TLA.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Latin America & the Caribbean (IDA & IBRD countries)
3312,MTL.LDC.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Least developed countries: UN classification
3313,MTL.LMY.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Low & middle income
3314,MTL.LIC.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Low income
3315,MTL.LMC.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Lower middle income
3316,MTL.MEA.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Middle East & North Africa
3317,MTL.MNA.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Middle East & North Africa (excluding high income)
3318,MTL.TMN.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Middle East & North Africa (IDA & IBRD countries)
3319,MTL.MIC.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Middle income
3320,MTL.NAC.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for North America
3321,MTL.INX.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Not classified
3322,MTL.OED.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for OECD members
3323,MTL.OSS.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Other small states
3324,MTL.PSS.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Pacific island small states
3325,MTL.PST.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Post-demographic dividend
3326,MTL.PRE.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Pre-demographic dividend
3327,MTL.SST.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Small states
3328,MTL.SAS.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for South Asia
3329,MTL.TSA.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for South Asia (IDA & IBRD)
3330,MTL.SSF.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Sub-Saharan Africa
3331,MTL.SSA.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Sub-Saharan Africa (excluding high income)
3332,MTL.TSS.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Sub-Saharan Africa (IDA & IBRD countries)
3333,MTL.UMC.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for Upper middle income
3334,MTL.WLD.NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP) for World
3335,MTL.AFE.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Africa Eastern and Southern
3336,MTL.AFW.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Africa Western and Central
3337,MTL.ARB.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Arab World
3338,MTL.CSS.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Caribbean small states
3339,MTL.CEB.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Central Europe and the Baltics
3340,MTL.EAR.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Early-demographic dividend
3341,MTL.EAS.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for East Asia & Pacific
3342,MTL.EAP.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for East Asia & Pacific (excluding high income)
3343,MTL.TEA.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for East Asia & Pacific (IDA & IBRD countries)
3344,MTL.EMU.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Euro area
3345,MTL.ECS.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Europe & Central Asia
3346,MTL.ECA.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Europe & Central Asia (excluding high income)
3347,MTL.TEC.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Europe & Central Asia (IDA & IBRD countries)
3348,MTL.EUU.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for European Union
3349,MTL.FCS.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Fragile and conflict affected situations
3350,MTL.HPC.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Heavily indebted poor countries (HIPC)
3351,MTL.HIC.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for High income
3352,MTL.IBD.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for IBRD only
3353,MTL.IBT.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for IDA & IBRD total
3354,MTL.IDB.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for IDA blend
3355,MTL.IDX.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for IDA only
3356,MTL.IDA.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for IDA total
3357,MTL.LTE.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Late-demographic dividend
3358,MTL.LCN.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Latin America & Caribbean
3359,MTL.LAC.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Latin America & Caribbean (excluding high income)
3360,MTL.TLA.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Latin America & the Caribbean (IDA & IBRD countries)
3361,MTL.LDC.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Least developed countries: UN classification
3362,MTL.LMY.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Low & middle income
3363,MTL.LIC.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Low income
3364,MTL.LMC.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Lower middle income
3365,MTL.MEA.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Middle East & North Africa
3366,MTL.MNA.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Middle East & North Africa (excluding high income)
3367,MTL.TMN.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Middle East & North Africa (IDA & IBRD countries)
3368,MTL.MIC.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Middle income
3369,MTL.NAC.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for North America
3370,MTL.INX.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Not classified
3371,MTL.OED.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for OECD members
3372,MTL.OSS.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Other small states
3373,MTL.PSS.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Pacific island small states
3374,MTL.PST.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Post-demographic dividend
3375,MTL.PRE.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Pre-demographic dividend
3376,MTL.SST.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Small states
3377,MTL.SAS.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for South Asia
3378,MTL.TSA.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for South Asia (IDA & IBRD)
3379,MTL.SSF.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Sub-Saharan Africa
3380,MTL.SSA.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Sub-Saharan Africa (excluding high income)
3381,MTL.TSS.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Sub-Saharan Africa (IDA & IBRD countries)
3382,MTL.UMC.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for Upper middle income
3383,MTL.WLD.NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP) for World
3384,MTL.AFE.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Africa Eastern and Southern
3385,MTL.AFW.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Africa Western and Central
3386,MTL.ARB.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Arab World
3387,MTL.CSS.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Caribbean small states
3388,MTL.CEB.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Central Europe and the Baltics
3389,MTL.EAR.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Early-demographic dividend
3390,MTL.EAS.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for East Asia & Pacific
3391,MTL.EAP.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for East Asia & Pacific (excluding high income)
3392,MTL.TEA.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for East Asia & Pacific (IDA & IBRD countries)
3393,MTL.EMU.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Euro area
3394,MTL.ECS.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Europe & Central Asia
3395,MTL.ECA.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Europe & Central Asia (excluding high income)
3396,MTL.TEC.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Europe & Central Asia (IDA & IBRD countries)
3397,MTL.EUU.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for European Union
3398,MTL.FCS.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Fragile and conflict affected situations
3399,MTL.HPC.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Heavily indebted poor countries (HIPC)
3400,MTL.HIC.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for High income
3401,MTL.IBD.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for IBRD only
3402,MTL.IBT.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for IDA & IBRD total
3403,MTL.IDB.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for IDA blend
3404,MTL.IDX.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for IDA only
3405,MTL.IDA.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for IDA total
3406,MTL.LTE.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Late-demographic dividend
3407,MTL.LCN.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Latin America & Caribbean
3408,MTL.LAC.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Latin America & Caribbean (excluding high income)
3409,MTL.TLA.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Latin America & the Caribbean (IDA & IBRD countries)
3410,MTL.LDC.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Least developed countries: UN classification
3411,MTL.LMY.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Low & middle income
3412,MTL.LIC.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Low income
3413,MTL.LMC.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Lower middle income
3414,MTL.MEA.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Middle East & North Africa
3415,MTL.MNA.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Middle East & North Africa (excluding high income)
3416,MTL.TMN.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Middle East & North Africa (IDA & IBRD countries)
3417,MTL.MIC.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Middle income
3418,MTL.NAC.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for North America
3419,MTL.INX.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Not classified
3420,MTL.OED.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for OECD members
3421,MTL.OSS.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Other small states
3422,MTL.PSS.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Pacific island small states
3423,MTL.PST.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Post-demographic dividend
3424,MTL.PRE.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Pre-demographic dividend
3425,MTL.SST.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Small states
3426,MTL.SAS.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for South Asia
3427,MTL.TSA.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for South Asia (IDA & IBRD)
3428,MTL.SSF.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Sub-Saharan Africa
3429,MTL.SSA.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Sub-Saharan Africa (excluding high income)
3430,MTL.TSS.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Sub-Saharan Africa (IDA & IBRD countries)
3431,MTL.UMC.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for Upper middle income
3432,MTL.WLD.NY.GDP.PETR.RT.ZS,Oil rents (% of GDP) for World
3433,MTL.AFE.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Africa Eastern and Southern
3434,MTL.AFW.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Africa Western and Central
3435,MTL.ARB.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Arab World
3436,MTL.CSS.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Caribbean small states
3437,MTL.CEB.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Central Europe and the Baltics
3438,MTL.EAR.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Early-demographic dividend
3439,MTL.EAS.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for East Asia & Pacific
3440,MTL.EAP.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for East Asia & Pacific (excluding high income)
3441,MTL.TEA.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for East Asia & Pacific (IDA & IBRD countries)
3442,MTL.EMU.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Euro area
3443,MTL.ECS.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Europe & Central Asia
3444,MTL.ECA.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Europe & Central Asia (excluding high income)
3445,MTL.TEC.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Europe & Central Asia (IDA & IBRD countries)
3446,MTL.EUU.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for European Union
3447,MTL.FCS.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Fragile and conflict affected situations
3448,MTL.HPC.NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP) for Heavily indebted poor countries (HIPC)
